,TMDB_ID,Name,Birthday,Deathday,Gender,Place of Birth,Popularity
80644,80644,Adolphe Le Prince,,,0,,4.9e-05
80645,80645,Joseph Whitley,,,0,,9e-06
80646,80646,Sarah Whitley,,,0,,2.2e-05
1728882,1728882,Annie Hartley,,,0,,0.0
569209,569209,Louis Aimé Augustin Le Prince,1841-08-28,1890-09-16,2,"Metz, Moselle, Lorraine, France",0.570603
935707,935707,Émile Reynaud,,,0,,8.8e-05
1422717,1422717,Robert Thomae,,,0,,9e-06
1170484,1170484,Alfred Clark,,,0,,0.000972
593008,593008,François Clerc,,,0,,8e-06
593009,593009,Benoît Duval,,,0,,0.24
1868,1868,Louis Lumière,1864-10-05,1948-06-06,0,Besançon - France,4e-06
11523,11523,Georges Méliès,1861-12-08,1938-01-21,0,"Paris, France",0.989113
28964,28964,Jeanne d'Alcy,,,0,,0.021168
1071403,1071403,Alice Guy,1873-07-01,1968-03-24,1,"Saint-Mandé, Val-de-Marne, France",1e-06
1126154,1126154,Germaine Serand,,,0,,0.0
1126155,1126155,Yvonne Serand,,,0,,1e-06
1419617,1419617,Jeanne-Joséphine Lumière,,,0,,3.6e-05
1867,1867,Auguste Lumière,1862-10-19,1954-04-10,0,Besançon - France,8e-05
1431399,1431399,Barral,,,0,,0.0
11645,11645,Bleuette Bernon,1878-06-06,1919,1,Paris - France,0.001152
1431400,1431400,Carmely,,,0,,0.168
1431402,1431402,Depeyrou,,,0,,0.1512
44217,44217,Charles Perrault,1628-01-12,1703-05-16,2,Paris - France,2.041481
1435233,1435233,Harold Smith,,,0,,0.01512
1037661,1037661,George Albert Smith,1864-01-04,1959-05-17,0,"Brighton, East Sussex, England, UK",0.0468
1100017,1100017,J. Stuart Blackton,,,0,,0.0
588703,588703,Sarah Bernhardt,1844-09-25,1923-03-26,1,"Paris,France",2.5e-05
144364,144364,Pierre Magnier,1869-02-22,1959-10-15,2,"Paris, France",0.000409
1175929,1175929,Clément Maurice,1853-03-22,1933-07-15,0,Aiguillon,8.3e-05
1086955,1086955,Laura Bayley,,,0,,0.000437
1267002,1267002,Tom Green,,,0,,0.0
1173774,1173774,Albert E. Smith,1875-06-04,1958-08-01,2,"Faversham, Kent, England, UK",1.6e-05
125992,125992,Cecil M. Hepworth,1873-03-19,1953-02-09,0,,0.2184
1420774,1420774,Henry Lawley,,,0,,0.000132
1175916,1175916,Arthur Marvin,,,0,,0.0
1079361,1079361,Ferdinand Zecca,,,0,,0.000187
143464,143464,Jonathan Swift,,,0,,1e-06
11644,11644,Henri Delannoy,,,0,,0.07056
11647,11647,Brunnet,,,0,,0.000198
28963,28963,Victor André,,,0,,0.003074
28965,28965,Depierre,,,0,,0.2352
28966,28966,Farjaut,,,0,,0.0504
28967,28967,Kelm,,,0,,1e-06
1271225,1271225,François Lallement,1877-02-04,1954-01-01,2,France,0.12
2088,2088,Jules Verne,1828-02-08,1905-03-25,2,"Nantes, France",0.739472
11624,11624,H.G. Wells,1866-09-21,1946-08-13,2,"Bromley, Kent, England, UK",0.220519
44866,44866,Edwin S. Porter,1870-04-21,1941-04-30,2,"Connellsville, Pennsylvania, USA",0.0
44875,44875,A.C. Abadie,,,0,,0.0
44879,44879,Gilbert M. Anderson,1880-03-21,1971-01-20,2,"Little Rock, Arkansas, USA",0.000354
3356,3356,George Barnes,1892-10-16,1953-05-30,2,"Pasadena, California, USA",0.003532
44876,44876,Justus D. Barnes,,,0,,3.7e-05
44877,44877,Walter Cameron,,,0,,0.000101
1426473,1426473,Frank Hanaway,,,0,,0.01512
1426475,1426475,Adam Charles Hayman,,,0,,0.4
1426508,1426508,Mary Snow,,,0,,3e-06
1426504,1426504,Donald Gallaher,1895-06-25,1961-08-14,2,"Quincy, Illinois",0.001361
1860194,1860194,John Manus Dougherty Sr.,,,0,,0.12
44867,44867,Scott Marble,,,0,,0.019656
1574187,1574187,Fernande Albeny,,,0,,1.4e-05
1860008,1860008,May de Lavergne,,,0,,1e-06
29028,29028,Adolphe d'Ennery,,,0,,0.0
41616,41616,Segundo de Chomón,1871-10-18,1929-05-02,0,"Teruel, Aragón, Spain",0.162798
1591674,1591674,Elizabeth Tait,,,0,,0.0
1591675,1591675,John Tait,,,0,,0.0
85621,85621,Charles Tait,,,0,,0.0
1591679,1591679,Sam Crewes,,,0,,0.036
1271226,1271226,André Méliès,,,0,,0.4
931793,931793,Paul Panzer,1872-11-03,1958-08-16,2,"Würzburg, Germany",0.00057
1120784,1120784,Gladys Hulette,1896-07-21,1991-08-08,0,"Arcade, New York, USA",6.3e-05
1016035,1016035,Max Linder,1883-12-16,1925-10-31,2,"Saint-Loubès, Gironde, France",0.645389
545550,545550,Jeanne Marnac,,,0,,0.4
1268213,1268213,Georges Monca,,,0,,0.0
931794,931794,Émile Cohl,,,0,,1.7e-05
1056719,1056719,Ashley Miller,,,0,,0.000172
1051462,1051462,Hay Plumb,,,2,,1.7e-05
1272055,1272055,Alma Taylor,1895-01-03,1974-01-23,1,"London, England, UK",0.0
1272056,1272056,Chrissie White,1895-05-23,1989-08-18,1,"London , England , UK",0.4
1008306,1008306,Lewin Fitzhamon,,,0,,1e-06
1090768,1090768,René Leprince,,,0,,0.0
562262,562262,Helen Gardner,1884-09-02,1968-11-20,1,"Binghamton, New York, USA",0.12
562263,562263,Charles Sindelar,,,0,,0.0
562264,562264,Pearl Sindelar,,,0,,0.0
562265,562265,Miss Fielding,,,0,,0.0
562266,562266,Harry Knowles,,,0,,0.12
1705079,1705079,Miss Robson,,,0,,0.0
1047595,1047595,Helene Costello,1906-06-21,1957-01-26,1,"New York, New York, U.S.A.",8.3e-05
562261,562261,Charles L. Gaskill,,,0,,1.1e-05
1264306,1264306,Victorien Sardou,1831-09-05,1908-11-08,0,"Paris, France",0.000408
30496,30496,Francis Ford,1881-08-14,1953-09-05,2,"Portland, Maine, USA",4e-06
1070243,1070243,Ethel Grandin,,,0,,0.4
1223502,1223502,Ann Little,1891-02-07,1984-05-21,0,Mount Shasta - California - USA,0.0
98038,98038,Ray Myers,,,0,,0.192
1373950,1373950,William Eagle Shirt,,,0,,0.041644
592840,592840,Art Acord,1890-04-17,1931-01-04,0,Stillwater - Oklahoma - USA,0.000141
931237,931237,Thomas H. Ince,1882-11-06,1924-11-19,2,,3.1e-05
587951,587951,C. Gardner Sullivan,1884-09-18,1965-09-05,2,,2e-06
1172420,1172420,Gaston Méliès,,,0,,1e-06
1037794,1037794,Lois Weber,1879-06-13,1939-11-13,0,Allegheny - Pennsylvania - USA,0.001361
1175461,1175461,Val Paul,1886-04-10,1962-03-13,2," Denver, Colorado, USA",0.0
215200,215200,Sam Kaufman,,,0,,0.1668
1175462,1175462,Douglas Gerrard,1891-08-12,1950-06-05,2,"Dublin, Ireland",0.138298
1449341,1449341,Lule Warrenton,,,0,,0.12
116187,116187,Phillips Smalley,1875-08-07,1939-05-02,2,"Brooklyn, New York, USA",0.52
1050356,1050356,Sidney Drew,1863-08-28,1919-04-09,0,New York City - New York - USA,0.0
1237831,1237831,Mrs. Sidney Drew,1890-04-18,1925-11-03,0,Sedalia - Missouri - USA,0.0
1187868,1187868,Edith Storey,,,0,,0.4
1142374,1142374,Charles Kent,1952-06-18,1923-05-21,2,"London, England, UK",4.8e-05
1369398,1369398,Ada Gifford,,,0,,0.000801
1223540,1223540,Ethel Lloyd,,,0,,0.0
1369401,1369401,Lillian Burns,,,0,,0.0
1369402,1369402,Grace Stevens,,,0,,0.021168
1050355,1050355,Sidney Drew,,,0,,0.12
1369395,1369395,Marguerite Bertsch,,,0,,0.001568
1364848,1364848,Archibald Clavering Gunter,1847-10-25,1907-02-24,0,Liverpool - Lancashire - England - UK,0.336
1369396,1369396,Fergus Redmund,,,0,,0.07056
1174234,1174234,Eugene Mullin,,,0,,0.0
8828,8828,Lillian Gish,1893-10-14,1993-02-27,1,"Springfield, Ohio, USA",1.01879
8829,8829,Mae Marsh,1894-11-09,1968-02-13,1,"Madrid, New Mexico Territory , USA",0.020574
8830,8830,Henry B. Walthall,1878-03-16,1936-06-17,2,"Shelby City, Alabama, USA",0.259728
8831,8831,Miriam Cooper,1891-11-07,1976-04-12,1,,3e-06
8832,8832,Mary Alden,1883-06-18,1946-07-02,0,,0.004918
8833,8833,Ralph Lewis,1872-10-08,1937-12-04,2,"Englewood, Illinois, USA",0.002722
8820,8820,Joseph Henabery,,,2,,0.0936
8834,8834,Josephine Crowell,1859-01-11,1932-07-27,1,"Nova Scotia, Canada",6e-06
8835,8835,Spottiswoode Aitken,1868-04-16,1933-02-26,2,"Edinburgh, Scotland, UK",5.3e-05
8836,8836,Jennie Lee,1848-09-04,1925-08-05,1,"Sacramento, California, USA",0.000359
8814,8814,Frank E. Woods,,1939-05-01,0,,1.5e-05
